experimento,top1,top3,top5,top10,label,round,k,threshold,f1,precision,recall
accs_experimentos_muitos_passos_135m,0.9790065868199135,0.9861426445879947,0.98762597339173,0.9908730977893038,0.5,25.5,4.75,,,,
accs_experimentos_muitos_passos_360m,0.9822662742662104,0.9906378857141229,0.9922294373572509,0.9934102855865983,0.5,25.5,4.75,,,,
accs_experimentos_poucos_passos_135m,0.9641485482889958,0.9812344779946317,0.9844632272174534,0.9878792034481537,0.5,25.5,4.75,,,,
accs_experimentos_poucos_passos_360m,0.9711541794949746,0.9864574758894238,0.9899082621459752,0.9934440186181526,0.5,25.5,4.75,,,,
f1_experimentos_muitos_passos_135m,,,,,,25.5,4.75,0.9966366366366367,0.8879691442285552,0.9851158864967533,0.8146849999999999
f1_experimentos_muitos_passos_360m,,,,,,25.5,4.75,0.9982982982982983,0.8847750253795112,0.9896804738047418,0.80625
f1_experimentos_poucos_passos_135m,,,,,,25.5,4.75,0.9945745745745743,0.9487938092589531,0.9674932742286205,0.9324799999999999
f1_experimentos_poucos_passos_360m,,,,,,25.5,4.75,0.9953503503503504,0.9372328004928215,0.9792505369726652,0.9003
